GeoFips,GeoName,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
39049,"Franklin, OH",21770821,22870717,24144275,25200788,26152307,28110471,30230549,31941169,34538830,34511856,35735623,36950092,38317725,39706824,41343652,42985383,44517700,43685958,45312898,49146343,52901680,53511823,56239159,59262784,60509044,62542288,64857553,66896923,71982043,78251092
39051,"Fulton, OH",758677,796003,853137,881861,937982,997509,1043449,1070358,1123290,1152938,1179146,1243517,1303344,1332809,1386954,1432796,1433558,1394868,1463201,1557036,1565933,1606771,1672147,1730310,1786850,1845247,1903422,1956431,2131208,2248473
39053,"Gallia, OH",474821,490722,537001,540137,569362,606429,642487,669750,706065,758241,769225,792046,835008,839365,896612,935265,974582,975028,977776,1030192,1068175,1057235,1058055,1075239,1079424,1124912,1171935,1207372,1299843,1342948
39055,"Geauga, OH",2028129,2139387,2321287,2476725,2706943,2928462,3137820,3299672,3450789,3641934,3650642,3795299,3987784,4161633,4440046,4540474,4640131,4407745,4736433,5260267,5353790,5461946,5694667,5878188,5981535,6164107,6426518,6684576,6873723,7630061
39057,"Greene, OH",2991855,3129550,3323032,3541513,3652893,3840948,4146212,4165315,4376005,4544219,4715310,4954491,5111434,5264074,5590466,5876507,6073985,6037078,6253076,6699593,6789277,6891807,7178336,7489493,7707616,8104678,8360404,8641130,9305351,10034233
39059,"Guernsey, OH",596146,597888,630128,660617,688554,734984,782644,795100,832216,901017,942121,978696,993243,1006662,1038061,1084026,1136737,1139073,1175786,1257545,1306556,1331284,1416578,1434650,1420190,1496247,1569061,1606722,1758828,1842134
39061,"Hamilton, OH",20808516,21503148,22286370,23286314,24547328,25636836,27552815,27694131,28648918,29283517,29652627,30129181,31710708,32431094,34179426,34725472,35541904,33637742,34950527,37832051,39647214,39887277,41200308,42754154,43924279,45783438,47758645,49439814,52328248,57557999
39063,"Hancock, OH",1382654,1427997,1538738,1598786,1670513,1760358,1881707,1960873,2062228,2277954,2297734,2328652,2312330,2354264,2488927,2577764,2652896,2583651,2737582,3009993,3095424,3124208,3560280,4277898,3823992,3653761,3798294,3829064,4176944,4219472
39065,"Hardin, OH",469442,479154,498378,514184,563771,606854,641908,653339,683683,698658,698747,723462,763304,770285,784433,826740,882935,869115,884876,954176,920829,961644,969001,933341,945735,978695,1027969,1037195,1139821,1230961
39067,"Harrison, OH",225166,227831,241154,251675,278971,308830,325428,328975,344426,362990,369887,377032,379220,385703,391077,403109,425994,428531,445306,468433,477616,503424,528264,534753,525053,569882,581194,595098,623511,663899
39069,"Henry, OH",538859,560873,597976,622310,658327,691374,697297,713625,742834,756273,757938,793484,826122,846828,886358,906129,925876,913513,940597,1020380,1042557,1081176,1089172,1113494,1139866,1171516,1195042,1228975,1354535,1450252
39071,"Highland, OH",544043,566199,608221,636868,688791,756427,796236,807114,856990,915318,927187,964009,1040199,1085169,1111658,1145978,1177297,1198579,1189858,1269165,1285696,1314349,1343113,1385076,1416670,1492899,1548947,1606443,1771315,1933219
39073,"Hocking, OH",399560,420673,444752,473070,498669,526058,542565,560941,581034,623627,643523,662626,692662,707619,730919,776465,805489,805625,829782,876369,909377,912603,932827,969463,997659,1045353,1070765,1119988,1215367,1282857
39075,"Holmes, OH",446450,475244,523072,541107,590307,608506,659372,683497,733290,843178,847944,885026,981802,984955,983939,1011295,1058870,1079476,1167959,1316501,1329739,1440187,1565388,1699307,1687616,1837871,1945969,2048721,2188622,2404549
39077,"Huron, OH",1021682,1066116,1123914,1178398,1243550,1312457,1361286,1390981,1456199,1509338,1521544,1557988,1609257,1648781,1724695,1791031,1874503,1815253,1870967,1967972,1985989,2045572,2096070,2150820,2172893,2259993,2344208,2385547,2650223,2807298
39079,"Jackson, OH",439145,459152,483361,510834,543265,580281,615346,632222,652982,687300,715798,743683,777519,809190,842309,888234,928389,937484,963475,998998,1003667,1028062,1062714,1090642,1100413,1118648,1140792,1179538,1312993,1362368
